	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	virsorter_category	auxiliary_score	is_transposon	amg_flags
plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1_6	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	6	6822	7202	-1	C		sty:HCM2.0061c  hypothetical protein	False	0.569	140.0	1.378e-36	YP_006906643.1	YP_006906643.1 hypothetical protein SSU5_011 [Salmonella phage SSU5]	False	0.569	140.0	3.312e-38			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	1	False	F
plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1_7	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	7	7202	7696	-1	C		esm:O3M_25519  hypothetical protein	False	0.488	148.0	1.311e-38	YP_006906642.1	YP_006906642.1 hypothetical protein SSU5_010 [Salmonella phage SSU5]	False	0.484	147.0	1.111e-39			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								0	1	False	F
plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1_8	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	8	7687	8031	-1	C		ypa:YPA_MT0018  hypothetical protein	False	0.647	148.0	1.431e-39	YP_006906641.1	YP_006906641.1 hypothetical protein SSU5_009 [Salmonella phage SSU5]	False	0.647	148.0	3.439e-41			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	1	False	F
plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1_9	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	9	8042	8875	-1	C		esm:O3M_25529  hypothetical protein	False	0.553	292.0	2.033e-86	YP_006906640.1	YP_006906640.1 hypothetical protein SSU5_008 [Salmonella phage SSU5]	False	0.535	281.0	4.448e-84			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	1	False	F
plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1_10	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	10	8875	9300	-1	C		esm:O3M_25534  hypothetical protein	False	0.63	179.0	7.185e-50	YP_006906639.1	YP_006906639.1 hypothetical protein SSU5_007 [Salmonella phage SSU5]	False	0.627	178.0	4.452e-51			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	1	False	F
plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1_11	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	11	9342	9776	-1	C		kpm:KPHS_p100770  hypothetical protein	False	0.463	118.0	1.959e-28	YP_006906638.1	YP_006906638.1 putative Ig-like domain-containing protein [Salmonella phage SSU5]	False	0.421	109.0	6.618999999999999e-27	Bacterial Ig-like domain (group 2) [PF02368.18]		REFSEQ	Xu	REFSEQ conserved structural protein; Xu	0								0	1	False	F
plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1_12	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	plasmid__NZ_CP032196_1_Klebsiella_pneumoniae_strain_AR_0097_plasmid_unnamed2__complete_sequence_90884_101702_10__full-cat_1	12	9850	10722	-1	A		ypm:YP_pMT022  hypothetical protein	True	0.802	481.0	2.184e-151	YP_006906637.1	YP_006906637.1 putative major capsid protein [Salmonella phage SSU5]	True	0.8	479.0	1.85e-152			REFSEQ	Xu	REFSEQ major capsid protein; Xu	0								0	5	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_1	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	1	3	119	-1	E							YP_001686847.1	YP_001686847.1 hypothetical protein APCd_gp06 [Azospirillum phage Cd]	False	1.0	91.0	7.149999999999999e-23						0								2	5	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	2	121	426	-1	E																		0								2	4	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_3	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	3	430	579	-1	E							YP_001686846.1	YP_001686846.1 hypothetical protein APCd_gp05 [Azospirillum phage Cd]	False	0.966	102.0	1.7670000000000002e-26						0								2	4	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_4	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	4	591	848	-1	E																		0								1	4	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_5	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	5	873	1424	1	C		pde:Pden_3746  XRE family transcriptional regulator	False	0.379	71.0	1.177e-11	YP_001686845.1	YP_001686845.1 hypothetical protein APCd_gp04 [Azospirillum phage Cd]	True	0.949	367.0	9.707e-116						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_6	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	6	1851	2264	-1	C		ali:AZOLI_p11014  hypothetical protein	False	0.439	90.0	7.66e-19	YP_001686844.1	YP_001686844.1 hypothetical protein APCd_gp03 [Azospirillum phage Cd]	False	0.978	285.0	3.474e-88						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_7	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	7	2281	3258	-1	C		ali:AZOLI_p11013  hypothetical protein	False	0.426	241.0	7.108e-68	YP_001686843.1	YP_001686843.1 hypothetical protein APCd_gp02 [Azospirillum phage Cd]	True	0.932	636.0	2.335e-206	Bacterial regulatory proteins, luxR family [PF00196.19]					0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_8	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	8	3610	4470	-1	C		ali:AZOLI_p11011  hypothetical protein	False	0.419	206.0	1.486e-56	YP_001686842.1	YP_001686842.1 hypothetical protein APCd_gp01 [Azospirillum phage Cd]	True	0.849	504.0	2.686e-161						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_9	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	9	4802	5038	1	E							YP_001686936.1	YP_001686936.1 hypothetical protein APCd_gp95 [Azospirillum phage Cd]	False	0.935	155.0	2.041e-44						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_10	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	10	5121	5498	1	E							YP_001686935.1	YP_001686935.1 hypothetical protein APCd_gp94 [Azospirillum phage Cd]	False	0.947	251.0	1.214e-76						0								1	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_11	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	11	5500	5736	1	E							YP_001686934.1	YP_001686934.1 hypothetical protein APCd_gp93 [Azospirillum phage Cd]	False	1.0	175.0	2e-51						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_12	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	12	5736	5996	1	E							YP_001686933.1	YP_001686933.1 hypothetical protein APCd_gp92 [Azospirillum phage Cd]	False	1.0	195.0	4.0390000000000004e-58						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_13	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	13	6131	6364	-1	E							YP_001686932.1	YP_001686932.1 hypothetical protein APCd_gp91 [Azospirillum phage Cd]	False	1.0	171.0	8.477e-50						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_14	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	14	6468	6851	1	E							YP_001686931.1	YP_001686931.1 hypothetical protein APCd_gp90 [Azospirillum phage Cd]	False	1.0	285.0	2.139e-88						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_15	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	15	6851	7015	1	E							YP_001686930.1	YP_001686930.1 hypothetical protein APCd_gp89 [Azospirillum phage Cd]	False	0.879	101.0	4.321e-26						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_16	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	16	7106	7342	1	E							YP_001686929.1	YP_001686929.1 hypothetical protein APCd_gp88 [Azospirillum phage Cd]	False	0.991	166.0	5.451e-48						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_17	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	17	7348	7551	1	E							YP_001686928.1	YP_001686928.1 hypothetical protein APCd_gp87 [Azospirillum phage Cd]	False	0.962	138.0	1.3189999999999999e-38						0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_18	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	18	7548	8348	1	C		mea:Mex_1p3953  hypothetical protein	False	0.359	153.0	1.467e-38	YP_001686927.1	YP_001686927.1 hypothetical protein APCd_gp86 [Azospirillum phage Cd]	True	0.9	501.0	1.32e-160			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_19	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	19	8351	8554	1	C		abs:AZOBR_200109  hypothetical protein	False	0.575	77.0	8.954e-16												0								2	3	False	F
plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2_20	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	plasmid__NZ_CP032342_1_Azospirillum_brasilense_strain_MTCC4038_plasmid_p3__complete_sequence_584420_593374_73__full-cat_2	20	8551	8952	1	C		mes:Meso_0205  hypothetical protein	False	0.493	131.0	2.687e-33	YP_001686926.1	YP_001686926.1 hypothetical protein APCd_gp85 [Azospirillum phage Cd]	False	1.0	289.0	6.474e-90			REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	5	False	F
plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2_1	plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2	plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2	1	2	73	1	E																		0								2	5	False	F
plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2_2	plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2	plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2	2	116	1423	1	A		swi:Swit_5360  hypothetical protein	True	0.469	363.0	4.8460000000000004e-108												0								2	4	False	F
plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2_3	plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2	plasmid__NZ_CP033227_1_Sphingobium_yanoikuyae_strain_SJTF8_plasmid_pF1__complete_sequence_39832_41789_6__full-cat_2	3	1528	1956	1	C		nml:Namu_2690  hypothetical protein	False	0.331	61.0	1.106e-08												0								1	5	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	1	2	220	1	E																		0								2	5	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_2	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	2	217	540	1	C		opr:Ocepr_2202  plasmid maintenance system antidote protein, xre family	False	0.57	88.0	7.851e-19	YP_001686898.1	YP_001686898.1 Helix-turn-helix motif [Azospirillum phage Cd]	False	0.946	215.0	1.552e-64	Helix-turn-helix [PF01381.22]; Helix-turn-helix domain [PF12844.7]					0								1	4	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_3	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	3	1518	1694	-1	E							YP_001686897.1	YP_001686897.1 hypothetical protein APCd_gp56 [Azospirillum phage Cd]	False	0.93	115.0	5.8320000000000005e-31						0								1	2	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_4	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	4	1981	2433	-1	E							YP_001686895.1	YP_001686895.1 hypothetical protein APCd_gp54 [Azospirillum phage Cd]	False	0.937	277.0	2.611e-85						0								2	2	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_5	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	5	2437	2910	-1	E																		0								2	2	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_6	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	6	2975	3421	-1	C		ali:AZOLI_2690  lysozyme	False	0.71	208.0	1.332e-59	YP_001686894.1	YP_001686894.1 Phage-related lysozyme [Azospirillum phage Cd]	False	0.94	294.0	3.02e-91	Phage lysozyme [PF00959.19]	GH24 lysozyme (EC 3.2.1.17) [GH24]				0								1	2	False	AF
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_7	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	7	3495	3779	-1	E							YP_001686893.1	YP_001686893.1 hypothetical protein APCd_gp52 [Azospirillum phage Cd]	False	0.904	180.0	1.363e-52						0								2	2	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_8	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	8	3783	4469	-1	C		bpt:Bpet1001  phage tail fiber protein	False	0.34	70.0	4.787e-11	YP_001686892.1	YP_001686892.1 hypothetical protein APCd_gp51 [Azospirillum phage Cd]	True	0.945	454.0	4.3619999999999996e-145	Domain of unknown function (DUF4376) [PF14301.6]		REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								0	2	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_9	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	9	4479	5060	-1	C		mai:MICA_545  tail fiber domain-containing protein	False	0.514	89.0	7.539e-18	YP_001686891.1	YP_001686891.1 tail fiber protein [Azospirillum phage Cd]	True	0.938	382.0	9.704e-121						0								0	1	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_10	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	10	5070	7799	-1	C		fae:FAES_4024  hypothetical protein	False	0.226	161.0	4.657e-37	YP_001686890.1	YP_001686890.1 hypothetical protein APCd_gp49 [Azospirillum phage Cd]	True	0.939	1792.0	0.0						0								0	2	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_11	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	11	7876	9570	-1	C		tmo:TMO_2370  hypothetical protein	False	0.289	229.0	1.563e-60	YP_001686889.1	YP_001686889.1 hypothetical protein APCd_gp48 [Azospirillum phage Cd]	True	0.959	1139.0	0.0						0								1	2	False	F
plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1_12	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	plasmid__NZ_CP033323_1_Azospirillum_brasilense_strain_Cd_plasmid_p5__complete_sequence_131142_141831_16__full-cat_1	12	9567	10688	-1	C		abs:AZOBR_p330044  hypothetical protein	False	0.364	100.0	1.149e-19	YP_001686888.1	YP_001686888.1 hypothetical protein APCd_gp47 [Azospirillum phage Cd]	True	0.928	726.0	1.378e-236						0								1	5	False	F
plasmid__NZ_CP034040_1_Klebsiella_pneumoniae_subsp__pneumoniae_strain_CRK0298_plasmid_p1__complete_sequence_129360_133739_18__full-cat_2_1	plasmid__NZ_CP034040_1_Klebsiella_pneumoniae_subsp__pneumoniae_strain_CRK0298_plasmid_p1__complete_sequence_129360_133739_18__full-cat_2	plasmid__NZ_CP034040_1_Klebsiella_pneumoniae_subsp__pneumoniae_strain_CRK0298_plasmid_p1__complete_sequence_129360_133739_18__full-cat_2	1	3	197	-1	C	K10748	kpu:pK2044_00875  putative DNA replication terminus site-binding protein; K10748 DNA replication terminus site-binding protein	False	0.965	134.0	8.159000000000001e-36												0								2	5	False	F
plasmid__NZ_CP034040_1_Klebsiella_pneumoniae_subsp__pneumoniae_strain_CRK0298_plasmid_p1__complete_sequence_129360_133739_18__full-cat_2_2	plasmid__NZ_CP034040_1_Klebsiella_pneumoniae_subsp__pneumoniae_strain_CRK0298_plasmid_p1__complete_sequence_129360_133739_18__full-cat_2	plasmid__NZ_CP034040_1_Klebsiella_pneumoniae_subsp__pneumoniae_strain_CRK0298_plasmid_p1__complete_sequence_129360_133739_18__full-cat_2	2	240	647	-1	C		kpu:pK2044_00870  hypothetical protein	False	0.968	277.0	5.294e-84												0								2	4	False	F
